rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,tire_press_lf,tire_press_rf,tire_press_rr_orr,tire_press_lr_olr,tire_press_rr_irr,tire_press_lr_ilr
1541191861134723877,,1312,,1541191861,134611678,'',32.0,30.0,33.0,34.0,255.0,255.0
1541191861635992696,,1313,,1541191861,635889746,'',32.0,30.0,33.0,34.0,255.0,255.0
1541191862134620523,,1314,,1541191862,134501332,'',32.0,30.0,33.0,34.0,255.0,255.0
1541191862635474535,,1315,,1541191862,635304633,'',32.0,30.0,33.0,34.0,255.0,255.0
1541191863134415739,,1316,,1541191863,134312613,'',32.0,30.0,33.0,34.0,255.0,255.0
1541191863635499796,,1317,,1541191863,635334178,'',32.0,30.0,33.0,34.0,255.0,255.0
1541191864135165937,,1318,,1541191864,135022556,'',32.0,30.0,33.0,34.0,255.0,255.0
1541191864636998405,,1319,,1541191864,636842919,'',32.0,30.0,33.0,34.0,255.0,255.0
1541191865134812792,,1320,,1541191865,134681186,'',32.0,30.0,33.0,34.0,255.0,255.0
1541191865637070668,,1321,,1541191865,636962044,'',32.0,30.0,33.0,34.0,255.0,255.0
1541191866135814459,,1322,,1541191866,135569410,'',32.0,30.0,33.0,34.0,255.0,255.0
1541191866637141855,,1323,,1541191866,637012442,'',32.0,30.0,33.0,34.0,255.0,255.0
1541191867134728962,,1324,,1541191867,134596358,'',32.0,30.0,33.0,34.0,255.0,255.0
1541191867637219321,,1325,,1541191867,637041589,'',32.0,30.0,33.0,34.0,255.0,255.0
1541191868134789351,,1326,,1541191868,134644934,'',32.0,30.0,33.0,34.0,255.0,255.0
1541191868637261033,,1327,,1541191868,637119028,'',32.0,30.0,33.0,34.0,255.0,255.0
1541191869135924947,,1328,,1541191869,135787425,'',32.0,30.0,33.0,34.0,255.0,255.0
